"key","Genres","IMDbRating","IMDbVotes","MovieDirector","MoviePoster","MoviePosterSrc","MovieTitle","ReleasedYear","Runtime","Seeds","URL","UploadedTime","Uploader","YTSLikes"
"","Action / Crime / Mystery / Thriller","5.3","819","Hans Petter Moland","
            ","https://img.yts.mx/assets/images/movies/absolution_2024/medium-cover.jpg","Absolution","2024","1hr52min","100+","https://yts.mx/movies/absolution-2024","November 19, 2024 at 09:56 AM","FREEMAN","17"
"","Adventure","4.3","251","John Real","
            ","https://img.yts.mx/assets/images/movies/the_last_redemption_2024/medium-cover.jpg","The Last Redemption","2024","2hr1min","100+","https://yts.mx/movies/the-last-redemption-2024","November 19, 2024 at 04:34 AM","FREEMAN","5"
"","Documentary","null","null","Bill Berg-Hillinger","
            ","https://img.yts.mx/assets/images/movies/green_day_20_years_of_american_idiot_2024/medium-cover.jpg","Green Day: 20 Years of American Idiot","2024","1hr49min","null","https://yts.mx/movies/green-day-20-years-of-american-idiot-2024","November 20, 2024 at 06:24 AM","FREEMAN","null"
"","Mystery","7.0","86","Marco Deufemia","
            ","https://img.yts.mx/assets/images/movies/the_jane_mysteries_too_much_to_lose_2024/medium-cover.jpg","The Jane Mysteries: Too Much to Lose","2024","1hr24min","null","https://yts.mx/movies/the-jane-mysteries-too-much-to-lose-2024","November 20, 2024 at 06:49 AM","FREEMAN","1"
"","Documentary","null","null","Nanfu Wang","
            ","https://img.yts.mx/assets/images/movies/night_is_not_eternal_2024/medium-cover.jpg","Night Is Not Eternal","2024","1hr33min","null","https://yts.mx/movies/night-is-not-eternal-2024","November 20, 2024 at 07:02 AM","FREEMAN","null"
"","Action / Comedy / Crime","6.7","31061","Sidney Poitier","
            ","https://img.yts.mx/assets/images/movies/stir_crazy_1980/medium-cover.jpg","Stir Crazy","1980","1hr51min","null","https://yts.mx/movies/stir-crazy-1980","November 20, 2024 at 07:20 AM","FREEMAN","20"
"","Adventure / Drama / Thriller","6.1","969","Thomas Bidegain","
            ","https://img.yts.mx/assets/images/movies/soudain_seuls_2023/medium-cover.jpg","Soudain seuls","2023 ","1hr50min","null","https://yts.mx/movies/soudain-seuls-2023","November 20, 2024 at 07:26 AM","FREEMAN","null"
"","Crime / Drama / Thriller","7.5","4770","Ömer Kavur","
            ","https://img.yts.mx/assets/images/movies/motherland_hotel_1987/medium-cover.jpg","Motherland Hotel","1987 ","1hr44min","null","https://yts.mx/movies/motherland-hotel-1987","November 20, 2024 at 07:29 AM","FREEMAN","null"
"","Action / Comedy / Romance / Sport","4.9","4395","Hal Needham","
            ","https://img.yts.mx/assets/images/movies/stroker_ace_1983/medium-cover.jpg","Stroker Ace","1983","1hr34min","null","https://yts.mx/movies/stroker-ace-1983","November 20, 2024 at 07:43 AM","FREEMAN","8"
"","Comedy / Drama","6.7","40","Nora Fiffer","
            ","https://img.yts.mx/assets/images/movies/another_happy_day_2023/medium-cover.jpg","Another Happy Day","2023","1hr31min","null","https://yts.mx/movies/another-happy-day-2023","November 20, 2024 at 07:55 AM","FREEMAN","null"
